更新时间,#genre#
CCTV 12 社会与法「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010205/1.m3u8
CCTV 13 新闻「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010093/1.m3u8
CCTV 14 少儿「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010207/1.m3u8
CCTV 15 音乐「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010094/1.m3u8
CCTV 16 奥林匹克「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010094/1.m3u8
CCTV 17 农村农业「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010210/1.m3u8
湖南卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010224/1.m3u8
浙江卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010070/1.m3u8
江苏卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010225/1.m3u8
东方卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010219/1.m3u8
北京卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010143/1.m3u8
广东卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010221/1.m3u8
重庆卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010218/1.m3u8
深圳卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010068/1.m3u8
四川卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010115/1.m3u8
广西卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010099/1.m3u8
天津卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010069/1.m3u8
安徽卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010041/1.m3u8
山东卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010066/1.m3u8
江西卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010060/1.m3u8
河北卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010101/1.m3u8
东南卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010096/1.m3u8
湖北卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010223/1.m3u8
贵州卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010100/1.m3u8
辽宁卫视「IPV6,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010061/1.m3u8
黑龙江卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010222/1.m3u8
云南卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010119/1.m3u8
甘肃卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010098/1.m3u8
青海卫视「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010111/1.m3u8


央卫频道,#genre#
CCTV1,http://[2409:8087:74d9:21::6]:80/270000001128/9900000001/index.m3u8$LR•IPV6『线路1』
CCTV1,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226733/index.m3u8$LR•IPV6『线路2』
CCTV1,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3$LR•IPV6『线路3』
CCTV1,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000004000002226/1.m3u8?channel-id=bestzb&Contentid=5000000004000002226&livemode=1&stbId=3$LR•IPV6『线路4』
CCTV1,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000029752/1.m3u8?channel-id=wasusyt&Contentid=6000000001000029752&livemode=1&stbId=3$LR•IPV6『线路5』
CCTV1,http://123.161.39.146:9901/tsfile/live/0001_1.m3u8$LR•IPV4『线路6』
CCTV1,http://222.134.245.16:9901/tsfile/live/0001_1.m3u8$LR•IPV4『线路7』
CCTV1,http://111.8.242.107:9999/tsfile/live/1063_1.m3u8$LR•IPV4『线路8』
CCTV1,http://112.46.85.60:8009/hls/501/index.m3u8$LR•IPV4『线路9』
CCTV2,http://[2409:8087:74d9:21::6]:80/270000001128/9900000502/index.m3u8$LR•IPV6『线路1』
CCTV2,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000001000023315/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3$LR•IPV6『线路2』
CCTV2,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000014161/1.m3u8?channel-id=wasusyt&Contentid=6000000001000014161&livemode=1&stbId=3$LR•IPV6『线路3』
CCTV2,http://123.161.39.146:9901/tsfile/live/0002_1.m3u8$LR•IPV4『线路4』
CCTV2,http://222.134.245.16:9901/tsfile/live/0002_1.m3u8$LR•IPV4『线路5』
CCTV2,http://111.8.242.107:9999/tsfile/live/1002_1.m3u8$LR•IPV4『线路6』
CCTV2,http://112.46.85.60:8009/hls/502/index.m3u8$LR•IPV4『线路7』
CCTV3,http://[2409:8087:74d9:21::6]:80/270000001128/9900000003/index.m3u8$LR•IPV6『线路1』
CCTV3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/index.m3u8$LR•IPV6『线路2』
CCTV3,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000022313/1.m3u8?channel-id=wasusyt&Contentid=6000000001000022313&livemode=1&stbId=3$LR•IPV6『线路3』
CCTV3,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265003/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=3$LR•IPV6『线路4』
CCTV3,http://123.161.39.146:9901/tsfile/live/0003_1.m3u8$LR•IPV4『线路5』
CCTV3,http://42.49.148.241:9901/tsfile/live/0003_1.m3u8$LR•IPV4『线路6』
CCTV3,http://222.134.245.16:9901/tsfile/live/0003_1.m3u8$LR•IPV4『线路7』
CCTV3,http://111.8.242.107:9999/tsfile/live/1003_1.m3u8$LR•IPV4『线路8』
CCTV3,http://112.46.85.60:8009/hls/3/index.m3u8$LR•IPV4『线路9』
CCTV4,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002173/index.m3u8$LR•IPV6『线路1』
CCTV4,http://[2409:8087:74d9:21::6]:80/270000001128/9900000503/index.m3u8$LR•IPV6『线路2』
CCTV4,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265004/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=3$LR•IPV6『线路3』
CCTV4,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031102/1.m3u8?channel-id=bestzb&Contentid=5000000011000031102&livemode=1&stbId=3$LR•IPV6『线路4』
CCTV4,http://123.161.39.146:9901/tsfile/live/0004_1.m3u8$LR•IPV4『线路5』
CCTV4,http://222.134.245.16:9901/tsfile/live/0004_1.m3u8$LR•IPV4『线路6』
CCTV4,http://111.8.242.107:9999/tsfile/live/1007_1.m3u8$LR•IPV4『线路7』
CCTV4,http://222.134.245.16:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路8』
CCTV5,http://[2409:8087:74d9:21::6]:80/270000001128/9900000005/index.m3u8$LR•IPV6『线路1』
CCTV5,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265005/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=3$LR•IPV6『线路2』
CCTV5,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000025222/1.m3u8?channel-id=ystenlive&Contentid=1000000005000025222&livemode=1&stbId=3$LR•IPV6『线路3』
CCTV5,http://123.161.39.146:9901/tsfile/live/0005_1.m3u8$LR•IPV4『线路4』
CCTV5,http://42.49.148.241:9901/tsfile/live/0005_1.m3u8$LR•IPV4『线路5』
CCTV5,http://222.134.245.16:9901/tsfile/live/0005_1.m3u8$LR•IPV4『线路6』
CCTV5,http://222.134.245.16:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路7』
CCTV5+,http://[2409:8087:74d9:21::6]:80/270000001128/9900000507/index.m3u8$LR•IPV6『线路1』
CCTV5+,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000015875/1.m3u8?channel-id=wasusyt&Contentid=6000000001000015875&livemode=1&stbId=3$LR•IPV6『线路2』
CCTV5+,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265016/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265016&livemode=1&stbId=3$LR•IPV6『线路3』
CCTV5+,http://[2409:8087:74d9:21::4]:80/270000001128/index.m3u8?cmcc_cid=9900000507$LR•IPV6『线路4』
CCTV5+,http://222.134.245.16:9901/tsfile/live/0016_1.m3u8$LR•IPV4『线路5』
CCTV5+,http://111.8.242.107:9999/tsfile/live/1052_1.m3u8$LR•IPV4『线路6』
CCTV5+,http://121.24.98.45:8090/hls/5/index.m3u8$LR•IPV4『线路7』
CCTV5+,http://222.169.85.8:9901/tsfile/live/0116_1.m3u8$LR•IPV4『线路8』
CCTV5+,http://hms184nc1972679574.live.aikan.miguvideo.com/wh7f454c46tw4035956330_-1197773273/wd_r2/cctv/cctv5plusnew/2500/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208130700&ContentId=265106763&timezone=UTC&mtv_session=b1d7170ccd660150baa2e9435d787064&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=dfe2cfbc447ddc224a226f33be3d0f39$LR•IPV4『线路9』
CCTV6,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000016466/1.m3u8$LR•IPV6『线路1』
CCTV6,http://[2409:8087:74d9:21::6]:80/270000001128/9900000006/index.m3u8$LR•IPV6『线路2』
CCTV6,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010214/1.m3u8$LR•IPV6『线路3』
CCTV6,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000001000001737/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001737&livemode=1&stbId=3$LR•IPV6『线路4』
CCTV6,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000004574/1.m3u8?channel-id=wasusyt&Contentid=6000000001000004574&livemode=1&stbId=3$LR•IPV6『线路5』
CCTV6,http://123.161.39.146:9901/tsfile/live/0006_1.m3u8$LR•IPV4『线路6』
CCTV6,http://42.49.148.241:9901/tsfile/live/0006_1.m3u8$LR•IPV4『线路7』
CCTV6,http://222.134.245.16:9901/tsfile/live/0006_1.m3u8$LR•IPV4『线路8』
CCTV6,http://111.8.242.107:9999/tsfile/live/1024_1.m3u8$LR•IPV4『线路9』
CCTV6,mitv://generationnexxxt.com:19806/bcd8bbb9c46540a98045c37dce48b29a$LR•IPV4『线路10』
CCTV7,http://[2409:8087:74d9:21::6]:80/270000001128/9900000504/index.m3u8$LR•IPV6『线路1』
CCTV7,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000009055/1.m3u8?channel-id=wasusyt&Contentid=6000000001000009055&livemode=1&stbId=3$LR•IPV6『线路2』
CCTV7,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000265007/$LR•IPV6『线路3』
CCTV7,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265007/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265007&livemode=1&stbId=3$LR•IPV6『线路4』
CCTV7,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000001000024341/1.m3u8?channel-id=ystenlive&Contentid=1000000001000024341&livemode=1&stbId=3$LR•IPV6『线路5』
CCTV7,http://123.161.39.146:9901/tsfile/live/0007_1.m3u8$LR•IPV4『线路6』
CCTV7,http://222.134.245.16:9901/tsfile/live/0007_1.m3u8$LR•IPV4『线路7』
CCTV7,http://111.8.242.107:9999/tsfile/live/1073_1.m3u8$LR•IPV4『线路8』
CCTV7,http://222.134.245.16:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路9』
CCTV8,http://[2409:8087:74d9:21::6]:80/270000001128/9900000008/index.m3u8$LR•IPV6『线路1』
CCTV8,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265008/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265008&livemode=1&stbId=3$LR•IPV6『线路2』
CCTV8,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000001070/1.m3u8?channel-id=wasusyt&Contentid=6000000001000001070&livemode=1&stbId=3$LR•IPV6『线路3』
CCTV8,http://123.161.39.146:9901/tsfile/live/0008_1.m3u8$LR•IPV4『线路4』
CCTV8,http://42.49.148.241:9901/tsfile/live/0008_1.m3u8$LR•IPV4『线路5』
CCTV8,http://222.134.245.16:9901/tsfile/live/0008_1.m3u8$LR•IPV4『线路6』
CCTV8,http://111.8.242.107:9999/tsfile/live/1034_1.m3u8$LR•IPV4『线路7』
CCTV9,http://[2409:8087:74d9:21::6]:80/270000001128/9900000505/index.m3u8$LR•IPV6『线路1』
CCTV9,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000032162/1.m3u8?channel-id=wasusyt&Contentid=6000000001000032162&livemode=1&stbId=3$LR•IPV6『线路2』
CCTV9,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000001000014583/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014583&livemode=1&stbId=3$LR•IPV6『线路3』
CCTV9,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265009/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265009&livemode=1&stbId=3$LR•IPV6『线路4』
CCTV9,http://[2409:8087:74d9:21::9]:80/270000001128/index.m3u8?cmcc_cid=9900000505$LR•IPV6『线路5』
CCTV9,http://123.161.39.146:9901/tsfile/live/0009_1.m3u8$LR•IPV4『线路6』
CCTV9,http://222.134.245.16:9901/tsfile/live/0009_1.m3u8$LR•IPV4『线路7』
CCTV9,http://111.8.242.107:9999/tsfile/live/1036_1.m3u8$LR•IPV4『线路8』
CCTV9,http://112.46.85.60:8009/hls/509/index.m3u8$LR•IPV4『线路9』
CCTV10,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226164/index.m3u8$LR•IPV6『线路1』
CCTV10,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000026367/1.m3u8$LR•IPV6『线路2』
CCTV10,http://[2409:8087:74d9:21::6]:80/270000001128/9900000506/index.m3u8$LR•IPV6『线路3』
CCTV10,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000001000023734/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023734&livemode=1&stbId=3$LR•IPV6『线路4』
CCTV10,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265010/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265010&livemode=1&stbId=3$LR•IPV6『线路5』
CCTV10,http://123.161.39.146:9901/tsfile/live/0010_1.m3u8$LR•IPV4『线路6』
CCTV10,http://222.134.245.16:9901/tsfile/live/0010_1.m3u8$LR•IPV4『线路7』
CCTV10,http://111.8.242.107:9999/tsfile/live/1039_1.m3u8$LR•IPV4『线路8』
CCTV10,http://60.187.244.165:9901/tsfile/live/0010_1.m3u8$LR•IPV4『线路9』
CCTV10,http://117.27.190.42:9998/tsfile/live/23241_1.m3u8$LR•IPV4『线路10』
CCTV11,http://[2409:8087:74d9:21::6]:80/270000001128/9900000508/index.m3u8$LR•IPV6『线路1』
CCTV11,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010092/1.m3u8$LR•IPV6『线路2』
CCTV11,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031106/1.m3u8?channel-id=bestzb&Contentid=5000000011000031106&livemode=1&stbId=3$LR•IPV6『线路3』
CCTV11,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265011/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265011&livemode=1&stbId=3$LR•IPV6『线路4』
CCTV11,http://123.161.39.146:9901/tsfile/live/0011_1.m3u8$LR•IPV4『线路5』
CCTV11,http://222.134.245.16:9901/tsfile/live/0011_1.m3u8$LR•IPV4『线路6』
CCTV11,http://111.8.242.107:9999/tsfile/live/1041_1.m3u8$LR•IPV4『线路7』
CCTV11,http://222.134.245.16:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路8』
CCTV11,http://220.249.114.102:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路9』
CCTV12,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226436/index.m3u8$LR•IPV6『线路1』
CCTV12,http://[2409:8087:74d9:21::6]:80/270000001128/9900000509/index.m3u8$LR•IPV6『线路2』
CCTV12,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265012/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265012&livemode=1&stbId=3$LR•IPV6『线路3』
CCTV12,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000001000032494/1.m3u8?channel-id=ystenlive&Contentid=1000000001000032494&livemode=1&stbId=3$LR•IPV6『线路4』
CCTV12,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000022586/1.m3u8?channel-id=wasusyt&Contentid=6000000001000022586&livemode=1&stbId=3$LR•IPV6『线路5』
CCTV12,http://123.161.39.146:9901/tsfile/live/0012_1.m3u8$LR•IPV4『线路6』
CCTV12,http://222.134.245.16:9901/tsfile/live/0012_1.m3u8$LR•IPV4『线路7』
CCTV12,http://111.8.242.107:9999/tsfile/live/1043_1.m3u8$LR•IPV4『线路8』
CCTV12,http://112.46.85.60:8009/hls/507/index.m3u8$LR•IPV4『线路9』
CCTV13,http://[2409:8087:74d9:21::6]:80/270000001128/9900000510/index.m3u8$LR•IPV6『线路1』
CCTV13,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031108/1.m3u8?channel-id=bestzb&Contentid=5000000011000031108&livemode=1&stbId=3$LR•IPV6『线路2』
CCTV13,http://123.161.39.146:9901/tsfile/live/0013_1.m3u8$LR•IPV4『线路3』
CCTV13,http://222.134.245.16:9901/tsfile/live/0013_1.m3u8$LR•IPV4『线路4』
CCTV13,http://111.8.242.107:9999/tsfile/live/1045_1.m3u8$LR•IPV4『线路5』
CCTV13,http://60.187.244.165:9901/tsfile/live/0013_1.m3u8$LR•IPV4『线路6』
CCTV13,http://113.57.111.4:1111/tsfile/live/1012_1.m3u8$LR•IPV4『线路7』
CCTV14,http://[2409:8087:74d9:21::6]:80/270000001128/9900000511/index.m3u8$LR•IPV6『线路1』
CCTV14,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000008170/$LR•IPV6『线路2』
CCTV14,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000001000008170/1.m3u8?channel-id=ystenlive&Contentid=1000000001000008170&livemode=1&stbId=3$LR•IPV6『线路3』
CCTV14,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265013/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265013&livemode=1&stbId=3$LR•IPV6『线路4』
CCTV14,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000004000006673/1.m3u8?channel-id=bestzb&Contentid=5000000004000006673&livemode=1&stbId=3$LR•IPV6『线路5』
CCTV14,http://123.161.39.146:9901/tsfile/live/0014_1.m3u8$LR•IPV4『线路6』
CCTV14,http://222.134.245.16:9901/tsfile/live/0014_1.m3u8$LR•IPV4『线路7』
CCTV14,http://111.8.242.107:9999/tsfile/live/1046_1.m3u8$LR•IPV4『线路8』
CCTV14,http://60.187.244.165:9901/tsfile/live/0014_1.m3u8$LR•IPV4『线路9』
CCTV14,http://119.36.148.115:59901/tsfile/live/0014_1.m3u8$LR•IPV4『线路10』
CCTV15,http://[2409:8087:74d9:21::6]:80/270000001128/9900000512/index.m3u8$LR•IPV6『线路1』
CCTV15,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265014/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265014&livemode=1&stbId=3$LR•IPV6『线路2』
CCTV15,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031109/1.m3u8?channel-id=bestzb&Contentid=5000000011000031109&livemode=1&stbId=3$LR•IPV6『线路3』
CCTV15,http://123.161.39.146:9901/tsfile/live/0015_1.m3u8$LR•IPV4『线路4』
CCTV15,http://222.134.245.16:9901/tsfile/live/0015_1.m3u8$LR•IPV4『线路5』
CCTV15,http://111.8.242.107:9999/tsfile/live/1049_1.m3u8$LR•IPV4『线路6』
CCTV15,http://222.134.245.16:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路7』
CCTV16,http://[2409:8087:74d9:21::6]:80/270000001128/9900000016/index.m3u8$LR•IPV6『线路1』
CCTV16,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000008000023254/1.m3u8?channel-id=bestzb&Contentid=5000000008000023254&livemode=1&stbId=3$LR•IPV6『线路2』
CCTV16,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000006000233002/1.m3u8?channel-id=ystenlive&Contentid=1000000006000233002&livemode=1&stbId=3$LR•IPV6『线路3』
CCTV16,http://116.135.38.201:9901/tsfile/live/1000_1.m3u8$LR•IPV4『线路4』
CCTV16,http://123.166.61.70:8003/hls/16/index.m3u8$LR•IPV4『线路5』
CCTV16,http://58.17.116.69:9908/tsfile/live/0001_17.m3u8$LR•IPV4『线路6』
CCTV16,http://113.236.31.149:9901/tsfile/live/1027_1.m3u8$LR•IPV4『线路7』
CCTV16,http://123.189.39.129:9901/tsfile/live/1027_1.m3u8$LR•IPV4『线路8』
CCTV17,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010210/index.m3u8$LR•IPV6『线路1』
CCTV17,http://[2409:8087:74d9:21::9]:80/270000001128/9900000513/index.m3u8$LR•IPV6『线路2』
CCTV17,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265015/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265015&livemode=1&stbId=3$LR•IPV6『线路3』
CCTV17,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000006000268004/1.m3u8?channel-id=ystenlive&Contentid=1000000006000268004&livemode=1&stbId=3$LR•IPV6『线路4』
CCTV17,http://[2409:8087:74d9:21::9]:80/270000001128/index.m3u8?cmcc_cid=9900000513$LR•IPV6『线路5』
CCTV17,http://222.134.245.16:9901/tsfile/live/0019_1.m3u8$LR•IPV4『线路6』
CCTV17,http://111.8.242.107:9999/tsfile/live/1025_1.m3u8$LR•IPV4『线路7』
CCTV17,http://121.24.98.45:8090/hls/15/index.m3u8$LR•IPV4『线路8』
CCTV17,http://113.57.111.4:1111/tsfile/live/1014_1.m3u8$LR•IPV4『线路9』
CCTV17,http://222.134.245.16:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路10』
CCTV第一剧场,http://58.19.38.162:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4
CCTV怀旧剧场,http://111.61.236.247:9081/hls/67/index.m3u8$LR•IPV4
